year,month,city,hotel_name,total_rooms,rooms_used,occupancy_rate,avg_price,room_revenue,food_revenue,total_revenue,employees,individual_guests,group_guests,total_guests,domestic_guests,japan_guests,korea_guests,hk_mo_guests,usa_guests,domestic_ratio,international_ratio,individual_ratio,revpar,star_rank,star_rating,has_star
2023,1,台北市,寒舍艾麗酒店,235.0,4392,60.28826355525051,5637.134107468124,24758293,22278327,52321343,177,4232,206,4438,2768,43,94,260,274,0.6237043713384407,0.3762956286615593,0.953582694907616,3398.5302676733013,5.0,五星級,1
2023,1,台北市,日勝生加賀屋國際溫泉飯店,89.0,1179,42.7328742297934,23603.55470737913,27828591,15693409,57733818,135,3711,380,4091,3865,43,21,14,64,0.9447567831825959,0.05524321681740407,0.9071131752627719,10086.477346864805,,無星等/未評鑑,0
2023,1,台北市,晶華酒店,538.0,11858,71.09965223647919,5289.507336819025,62722978,196448284,286214231,972,19968,3674,23642,17371,1641,937,265,1377,0.7347517130530412,0.2652482869469588,0.8445985957194823,3760.8213215013784,5.0,五星級,1
2023,1,台北市,歐華酒店,112.0,1010,29.089861751152068,3289.932673267327,3322832,7900406,12333092,98,1833,180,2013,1310,268,111,10,106,0.6507699950322902,0.34923000496770984,0.910581222056632,957.0368663594469,4.0,四星級,1
2023,1,台北市,漢普頓酒店,129.0,2207,55.18879719929982,2382.048482102402,5257181,534860,7253228,37,3865,272,4137,3175,377,67,16,119,0.7674643461445492,0.23253565385545083,0.9342518733381677,1314.6239059764944,,無星等/未評鑑,0
2023,1,台北市,福容大飯店  台北一館,120.0,2001,53.79032258064517,2922.458770614693,5847840,15861926,22425547,74,2701,477,3178,1837,53,69,11,153,0.57803650094399,0.42196349905601005,0.8499056010069226,1572.0000000000002,4.0,四星級,1
2023,1,台北市,福華大飯店,606.0,7052,37.53859256893431,4603.09132161089,32461000,75413000,123267000,532,13422,197,13619,8850,419,642,30,1294,0.6498274469491152,0.3501725530508848,0.9855349144577429,1727.935696795486,5.0,五星級,1
2023,1,台北市,第一大飯店,176.0,1504,27.56598240469208,1773.367021276596,2667144,6850690,30338871,34,478,3652,4130,1204,2061,67,7,54,0.29152542372881357,0.7084745762711864,0.11573849878934625,488.8460410557185,4.0,四星級,1
2023,1,台北市,美麗信花園酒店,203.0,856,13.60241538217067,2181.829439252337,1867646,828034,3978741,123,1604,304,1908,1598,13,66,0,46,0.8375262054507338,0.16247379454926625,0.8406708595387841,296.781503257588,,無星等/未評鑑,0
2023,1,台北市,義華酒店,149.0,1590,34.4230352890236,4059.278616352201,6454253,211441,7465096,13,2763,196,2959,2105,80,124,14,292,0.7113889827644474,0.2886110172355526,0.9337614058803649,1397.3269105867073,,無星等/未評鑑,0
2023,1,台北市,老爺大酒店,202.0,4849,77.43532417757905,4310.723035677459,20902696,38670382,65873437,224,7578,654,8232,4471,2208,81,57,411,0.5431243926141885,0.45687560738581146,0.9205539358600583,3338.022357074417,5.0,五星級,1
2023,1,台北市,豪景大酒店,217.0,0,0.0,,0,0,245000,16,0,0,0,0,0,0,0,0,,,,,3.0,三星級,1
2023,1,台北市,雀客旅館台北南京,56.0,1107,63.76728110599078,2619.887082204155,2900215,0,2900215,24,687,0,687,673,2,2,0,0,0.9796215429403202,0.020378457059679778,1.0,1670.6307603686632,,無星等/未評鑑,0
2023,1,台北市,雀客藏居台北陽明山,50.0,920,59.354838709677416,6332.530434782609,5825928,3433327,10091329,8,1840,0,1840,1780,10,10,0,30,0.967391304347826,0.03260869565217395,1.0,3758.6632258064515,3.0,三星級,1
