date,year,month,city,hotel_name,actual_occupancy,predicted_occupancy,error,absolute_error
2026-01-01,2026,1,新北市,八里福朋喜來登酒店,26.62,45.450157555014094,18.830157555014093,18.830157555014093
2026-02-01,2026,2,新北市,八里福朋喜來登酒店,27.860000000000003,35.80675187510519,7.946751875105189,7.946751875105189
2026-03-01,2026,3,新北市,八里福朋喜來登酒店,30.260000000000005,35.815088267195996,5.555088267195991,5.555088267195991
2026-04-01,2026,4,新北市,八里福朋喜來登酒店,28.78,38.833264322380984,10.053264322380983,10.053264322380983
2026-05-01,2026,5,新北市,八里福朋喜來登酒店,28.08,33.29815916549816,5.2181591654981645,5.2181591654981645
2026-06-01,2026,6,新北市,八里福朋喜來登酒店,32.85,31.47206391353366,-1.3779360864663417,1.3779360864663417
2026-01-01,2026,1,屏東縣,凱撒大飯店,56.61999999999999,56.02000814458164,-0.5999918554183523,0.5999918554183523
2026-02-01,2026,2,屏東縣,凱撒大飯店,72.93,55.54683672690724,-17.38316327309277,17.38316327309277
2026-03-01,2026,3,屏東縣,凱撒大飯店,62.0,70.57765249769838,8.57765249769838,8.57765249769838
2026-04-01,2026,4,屏東縣,凱撒大飯店,80.01,66.06019701440978,-13.949802985590225,13.949802985590225
2026-05-01,2026,5,屏東縣,凱撒大飯店,80.13,74.06755991083186,-6.062440089168135,6.062440089168135
2026-06-01,2026,6,屏東縣,凱撒大飯店,79.55,77.14052694074485,-2.4094730592551485,2.4094730592551485
2026-01-01,2026,1,宜蘭縣,凱渡廣場酒店,21.48,28.38260386780947,6.902603867809468,6.902603867809468
2026-02-01,2026,2,宜蘭縣,凱渡廣場酒店,33.42,28.744038386671438,-4.675961613328564,4.675961613328564
2026-03-01,2026,3,宜蘭縣,凱渡廣場酒店,24.48,33.3758188116819,8.895818811681902,8.895818811681902
2026-04-01,2026,4,宜蘭縣,凱渡廣場酒店,33.12,29.268358397704343,-3.851641602295654,3.851641602295654
2026-05-01,2026,5,宜蘭縣,凱渡廣場酒店,42.73,34.01927398213659,-8.710726017863408,8.710726017863408
2026-06-01,2026,6,宜蘭縣,凱渡廣場酒店,52.22,42.32220939582222,-9.897790604177779,9.897790604177779
2026-01-01,2026,1,台北市,北投老爺酒店,74.06,75.49409003166522,1.434090031665221,1.434090031665221
2026-02-01,2026,2,台北市,北投老爺酒店,80.57,75.22918315680423,-5.340816843195768,5.340816843195768
2026-03-01,2026,3,台北市,北投老爺酒店,86.65,84.98634653085055,-1.6636534691494518,1.6636534691494518
2026-04-01,2026,4,台北市,北投老爺酒店,76.4,80.73877852617981,4.338778526179809,4.338778526179809
2026-05-01,2026,5,台北市,北投老爺酒店,66.19,75.14112381905633,8.951123819056335,8.951123819056335
2026-06-01,2026,6,台北市,北投老爺酒店,68.07,65.83151948334785,-2.238480516652146,2.238480516652146
2026-01-01,2026,1,台北市,北投麗禧溫泉酒店,78.4,72.28362930209443,-6.11637069790558,6.11637069790558
2026-02-01,2026,2,台北市,北投麗禧溫泉酒店,79.27,75.59939963213854,-3.6706003678614536,3.6706003678614536
2026-03-01,2026,3,台北市,北投麗禧溫泉酒店,64.86,75.74628118574795,10.886281185747947,10.886281185747947
2026-04-01,2026,4,台北市,北投麗禧溫泉酒店,57.02,62.774465407679145,5.754465407679142,5.754465407679142
2026-05-01,2026,5,台北市,北投麗禧溫泉酒店,53.52,53.884858569370024,0.36485856937002126,0.36485856937002126
2026-06-01,2026,6,台北市,北投麗禧溫泉酒店,45.76,48.93463225719569,3.1746322571956895,3.1746322571956895
2026-01-01,2026,1,桃園市,南方莊園渡假飯店,42.98,44.94848258288885,1.9684825828888535,1.9684825828888535
2026-02-01,2026,2,桃園市,南方莊園渡假飯店,47.1,45.67113104355191,-1.4288689564480919,1.4288689564480919
2026-03-01,2026,3,桃園市,南方莊園渡假飯店,34.79,42.43083391123773,7.640833911237728,7.640833911237728
2026-04-01,2026,4,桃園市,南方莊園渡假飯店,36.97,39.66744091563735,2.697440915637351,2.697440915637351
2026-05-01,2026,5,桃園市,南方莊園渡假飯店,29.469999999999995,37.14307748445027,7.673077484450271,7.673077484450271
2026-06-01,2026,6,桃園市,南方莊園渡假飯店,35.89,34.63210757963556,-1.257892420364442,1.257892420364442
2026-01-01,2026,1,桃園市,古華花園飯店,92.79,87.38880623019263,-5.401193769807378,5.401193769807378
2026-02-01,2026,2,桃園市,古華花園飯店,88.14,87.71188423646977,-0.4281157635302293,0.4281157635302293
2026-03-01,2026,3,桃園市,古華花園飯店,89.64,90.95258639834947,1.3125863983494668,1.3125863983494668
2026-04-01,2026,4,桃園市,古華花園飯店,89.03,89.74367032404558,0.7136703240455802,0.7136703240455802
2026-05-01,2026,5,桃園市,古華花園飯店,82.64,86.4858023783407,3.845802378340693,3.845802378340693
2026-06-01,2026,6,桃園市,古華花園飯店,83.49,86.38761288576029,2.897612885760296,2.897612885760296
2026-01-01,2026,1,台中市,台中港酒店,62.44,68.34692154024744,5.906921540247438,5.906921540247438
2026-02-01,2026,2,台中市,台中港酒店,65.13,67.66420730917028,2.5342073091702844,2.5342073091702844
2026-03-01,2026,3,台中市,台中港酒店,75.68,72.37791970695089,-3.3020802930491158,3.3020802930491158
2026-04-01,2026,4,台中市,台中港酒店,84.73,75.58479760293865,-9.145202397061354,9.145202397061354
2026-05-01,2026,5,台中市,台中港酒店,73.6,80.62243131282429,7.0224313128242954,7.0224313128242954
2026-06-01,2026,6,台中市,台中港酒店,76.13,77.41842402343833,1.2884240234383384,1.2884240234383384
2026-01-01,2026,1,台中市,台中福華大飯店,91.03,84.61269241724786,-6.417307582752144,6.417307582752144
2026-02-01,2026,2,台中市,台中福華大飯店,88.25,88.56371129546484,0.31371129546484156,0.31371129546484156
2026-03-01,2026,3,台中市,台中福華大飯店,86.37,91.45838292007271,5.0883829200727035,5.0883829200727035
2026-04-01,2026,4,台中市,台中福華大飯店,87.96,87.71050864329911,-0.2494913567008865,0.2494913567008865
2026-05-01,2026,5,台中市,台中福華大飯店,87.12,84.8596867153065,-2.2603132846935097,2.2603132846935097
2026-06-01,2026,6,台中市,台中福華大飯店,87.96,86.90657834415342,-1.0534216558465772,1.0534216558465772
2026-01-01,2026,1,台中市,台中金典酒店,72.35,63.06056160377446,-9.289438396225535,9.289438396225535
2026-02-01,2026,2,台中市,台中金典酒店,72.96,71.08296644975802,-1.8770335502419755,1.8770335502419755
2026-03-01,2026,3,台中市,台中金典酒店,74.22,74.48032131851426,0.2603213185142579,0.2603213185142579
2026-04-01,2026,4,台中市,台中金典酒店,74.79,73.33715097554568,-1.4528490244543235,1.4528490244543235
2026-05-01,2026,5,台中市,台中金典酒店,78.26,71.8177137173667,-6.4422862826333045,6.4422862826333045
2026-06-01,2026,6,台中市,台中金典酒店,79.76,74.71045850704185,-5.049541492958156,5.049541492958156
2026-01-01,2026,1,台北市,台北W飯店,77.06,76.06553259929119,-0.9944674007088139,0.9944674007088139
2026-02-01,2026,2,台北市,台北W飯店,72.94,79.94604591311928,7.00604591311928,7.00604591311928
2026-03-01,2026,3,台北市,台北W飯店,91.32,79.51042860438568,-11.809571395614313,11.809571395614313
2026-04-01,2026,4,台北市,台北W飯店,86.48,83.21109658010151,-3.2689034198984928,3.2689034198984928
2026-05-01,2026,5,台北市,台北W飯店,83.78,80.09269385341545,-3.6873061465845467,3.6873061465845467
2026-06-01,2026,6,台北市,台北W飯店,86.06,82.12913532389237,-3.930864676107632,3.930864676107632
2026-01-01,2026,1,台北市,台北中山雅樂軒酒店,86.8,79.45781321857721,-7.342186781422782,7.342186781422782
2026-02-01,2026,2,台北市,台北中山雅樂軒酒店,74.39,86.12686108095268,11.736861080952679,11.736861080952679
2026-03-01,2026,3,台北市,台北中山雅樂軒酒店,92.56,83.28722804170968,-9.27277195829032,9.27277195829032
2026-04-01,2026,4,台北市,台北中山雅樂軒酒店,87.5,88.38158525715316,0.8815852571531622,0.8815852571531622
2026-05-01,2026,5,台北市,台北中山雅樂軒酒店,83.32,84.13760338897558,0.8176033889755843,0.8176033889755843
2026-06-01,2026,6,台北市,台北中山雅樂軒酒店,79.47,84.9627645626135,5.492764562613502,5.492764562613502
2026-01-01,2026,1,台北市,台北凱撒大飯店,93.15,84.64687435229919,-8.503125647700813,8.503125647700813
2026-02-01,2026,2,台北市,台北凱撒大飯店,88.68,90.06609541789523,1.3860954178952198,1.3860954178952198
2026-03-01,2026,3,台北市,台北凱撒大飯店,97.68,92.3249406741175,-5.355059325882507,5.355059325882507
2026-04-01,2026,4,台北市,台北凱撒大飯店,94.25,90.98697147745118,-3.2630285225488223,3.2630285225488223
2026-05-01,2026,5,台北市,台北凱撒大飯店,91.15,90.78294803214864,-0.36705196785136707,0.36705196785136707
2026-06-01,2026,6,台北市,台北凱撒大飯店,85.86,89.39314882626577,3.533148826265773,3.533148826265773
2026-01-01,2026,1,台北市,台北君品大酒店,72.13,75.38533609858241,3.2553360985824185,3.2553360985824185
2026-02-01,2026,2,台北市,台北君品大酒店,67.02,75.51726721233678,8.49726721233678,8.49726721233678
2026-03-01,2026,3,台北市,台北君品大酒店,79.53,75.77995871045779,-3.75004128954221,3.75004128954221
2026-04-01,2026,4,台北市,台北君品大酒店,82.35,74.71277295145524,-7.637227048544759,7.637227048544759
2026-05-01,2026,5,台北市,台北君品大酒店,76.9,76.6815469397561,-0.21845306024390254,0.21845306024390254
2026-06-01,2026,6,台北市,台北君品大酒店,71.54,74.70169323275255,3.1616932327525404,3.1616932327525404
2026-01-01,2026,1,台北市,台北君悅酒店,84.16,80.47776878843722,-3.6822312115627795,3.6822312115627795
2026-02-01,2026,2,台北市,台北君悅酒店,75.42,82.66863890355944,7.2486389035594385,7.2486389035594385
2026-03-01,2026,3,台北市,台北君悅酒店,83.08,82.33768957065767,-0.742310429342325,0.742310429342325
2026-04-01,2026,4,台北市,台北君悅酒店,83.33,79.9745988098563,-3.355401190143695,3.355401190143695
2026-05-01,2026,5,台北市,台北君悅酒店,79.65,77.30571727069653,-2.3442827293034725,2.3442827293034725
2026-06-01,2026,6,台北市,台北君悅酒店,79.6,79.51682596342027,-0.08317403657972022,0.08317403657972022
2026-01-01,2026,1,台北市,台北寒舍喜來登大飯店,72.18,76.91592047719406,4.735920477194057,4.735920477194057
2026-02-01,2026,2,台北市,台北寒舍喜來登大飯店,66.6,76.91559810993591,10.31559810993592,10.31559810993592
2026-03-01,2026,3,台北市,台北寒舍喜來登大飯店,77.9,76.71765579656135,-1.1823442034386602,1.1823442034386602
2026-04-01,2026,4,台北市,台北寒舍喜來登大飯店,74.45,75.49066019289367,1.040660192893668,1.040660192893668
2026-05-01,2026,5,台北市,台北寒舍喜來登大飯店,71.63,73.43478480000579,1.8047848000057911,1.8047848000057911
2026-06-01,2026,6,台北市,台北寒舍喜來登大飯店,76.64,72.85297166495002,-3.787028335049982,3.787028335049982
2026-01-01,2026,1,台北市,台北寒舍艾美酒店,86.33,82.71741113838023,-3.61258886161977,3.61258886161977
2026-02-01,2026,2,台北市,台北寒舍艾美酒店,80.29,87.14514669591605,6.855146695916048,6.855146695916048
2026-03-01,2026,3,台北市,台北寒舍艾美酒店,89.78,88.44425304000343,-1.3357469599965697,1.3357469599965697
2026-04-01,2026,4,台北市,台北寒舍艾美酒店,88.52,87.48450450076882,-1.0354954992311747,1.0354954992311747
2026-05-01,2026,5,台北市,台北寒舍艾美酒店,86.79,84.26367362843494,-2.5263263715650623,2.5263263715650623
2026-06-01,2026,6,台北市,台北寒舍艾美酒店,88.79,87.06938146079612,-1.7206185392038833,1.7206185392038833
