date,year,month,horizon,city,hotel_name,actual_occupancy,predicted_occupancy,error,absolute_error
2026-03-01,2026,3,3,高雄市,麗尊大酒店,59.59,72.7162396527788,13.126239652778793,13.126239652778793
2026-04-01,2026,4,4,屏東縣,墾丁福華渡假飯店,54.95,41.00755340478825,-13.942446595211756,13.942446595211756
2026-04-01,2026,4,4,新北市,八里福朋喜來登酒店,28.78,49.60756633843324,20.827566338433236,20.827566338433236
2026-04-01,2026,4,4,新北市,大板根渡假酒店,77.05,71.92846460973607,-5.121535390263929,5.121535390263929
2026-04-01,2026,4,4,新北市,板橋凱撒大飯店,93.88,89.1379174864852,-4.742082513514802,4.742082513514802
2026-04-01,2026,4,4,新北市,瓏山林台北中和飯店,57.54,63.55947527335618,6.0194752733561785,6.0194752733561785
2026-04-01,2026,4,4,新北市,福容大飯店    淡水漁人碼頭,62.81,56.19554361143893,-6.614456388561074,6.614456388561074
2026-04-01,2026,4,4,新北市,福容大飯店 福隆,37.13,44.126823392337926,6.996823392337923,6.996823392337923
2026-04-01,2026,4,4,新北市,美麗春天大飯店,1.67,3.6528573057192304,1.9828573057192305,1.9828573057192305
2026-04-01,2026,4,4,新竹市,新竹國賓大飯店,70.45,69.72029548349701,-0.7297045165029914,0.7297045165029914
2026-04-01,2026,4,4,屏東縣,墾丁怡灣渡假酒店,47.83,45.39575257033727,-2.434247429662726,2.434247429662726
2026-04-01,2026,4,4,新北市,碧特弗大飯店,13.269999999999998,17.570604923783034,4.300604923783036,4.300604923783036
2026-04-01,2026,4,4,屏東縣,凱撒大飯店,80.01,62.10780483951944,-17.902195160480566,17.902195160480566
2026-04-01,2026,4,4,嘉義市,鈺通大飯店,45.22,41.4325705264268,-3.787429473573198,3.787429473573198
2026-04-01,2026,4,4,宜蘭縣,蘭城晶英酒店,49.22,65.98118781607043,16.761187816070432,16.761187816070432
2026-04-01,2026,4,4,宜蘭縣,綠舞國際觀光飯店,32.83,52.30333592857704,19.473335928577043,19.473335928577043
2026-04-01,2026,4,4,宜蘭縣,礁溪麒麟酒店,71.76,73.78392661087027,2.0239266108702623,2.0239266108702623
2026-04-01,2026,4,4,宜蘭縣,礁溪老爺酒店,73.28,77.56177903541433,4.281779035414331,4.281779035414331
2026-04-01,2026,4,4,宜蘭縣,悅川酒店,66.63,69.78812494178479,3.1581249417847914,3.1581249417847914
2026-04-01,2026,4,4,宜蘭縣,幼獅大飯店,13.77,15.148637021151917,1.378637021151917,1.378637021151917
2026-04-01,2026,4,4,宜蘭縣,山泉大飯店,67.37,66.30969522237484,-1.0603047776251628,1.0603047776251628
2026-04-01,2026,4,4,宜蘭縣,凱渡廣場酒店,33.12,32.480496909600106,-0.6395030903998915,0.6395030903998915
2026-04-01,2026,4,4,基隆市,長榮桂冠酒店(基隆),83.52,85.06599479810485,1.5459947981048572,1.5459947981048572
2026-04-01,2026,4,4,嘉義縣,阿里山賓館(現代館),48.71,57.27999159430031,8.569991594300312,8.569991594300312
2026-04-01,2026,4,4,嘉義縣,阿里山賓館(歷史館),54.86,36.19296324909821,-18.667036750901786,18.667036750901786
2026-04-01,2026,4,4,嘉義縣,名都觀光渡假大飯店,21.51,25.498227728685286,3.9882277286852847,3.9882277286852847
2026-04-01,2026,4,4,宜蘭縣,長榮鳳凰酒店(礁溪),67.37,61.20978857639067,-6.160211423609333,6.160211423609333
2026-04-01,2026,4,4,新竹市,新竹老爺大酒店,75.14,73.3648224863886,-1.7751775136113963,1.7751775136113963
2026-04-01,2026,4,4,高雄市,高雄福華大飯店,85.17,85.51378437884365,0.343784378843651,0.343784378843651
2026-04-01,2026,4,4,新竹縣,豐邑喜來登大飯店,56.75,53.50486995114761,-3.2451300488523884,3.2451300488523884
2026-04-01,2026,4,4,嘉義市,耐斯王子大飯店,69.18,53.65763882928746,-15.52236117071255,15.52236117071255
2026-04-01,2026,4,4,高雄市,高雄圓山大飯店,66.67,71.53751589535146,4.86751589535146,4.86751589535146
2026-04-01,2026,4,4,高雄市,義大皇家酒店,48.49,50.56817855028758,2.078178550287575,2.078178550287575
2026-04-01,2026,4,4,高雄市,福容大飯店 高雄,55.93,64.96455452844732,9.034554528447323,9.034554528447323
2026-04-01,2026,4,4,高雄市,然一酒店,51.61,53.85220983920956,2.2422098392095577,2.2422098392095577
2026-04-01,2026,4,4,高雄市,漢來大飯店,70.91,77.21239730917485,6.30239730917485,6.30239730917485
2026-04-01,2026,4,4,高雄市,寒軒國際大飯店,74.37,76.72024365278256,2.3502436527825523,2.3502436527825523
2026-04-01,2026,4,4,金門縣,陸島酒店,53.26,45.54459667117327,-7.715403328826731,7.715403328826731
2026-04-01,2026,4,4,苗栗縣,馥藝金鬱金香酒店,62.6,54.67327680336283,-7.92672319663717,7.92672319663717
2026-04-01,2026,4,4,花蓮縣,遠雄悅來大飯店,42.08,37.45735613594586,-4.62264386405414,4.62264386405414
2026-04-01,2026,4,4,花蓮縣,美侖大飯店,52.6,38.2329514837797,-14.3670485162203,14.3670485162203
2026-04-01,2026,4,4,新竹縣,新竹喜來登大飯店,84.69,76.6094354684935,-8.080564531506496,8.080564531506496
2026-04-01,2026,4,4,花蓮縣,瑞穗天合國際觀光酒店,58.3,44.91557748911119,-13.384422510888804,13.384422510888804
2026-04-01,2026,4,4,澎湖縣,澎湖福朋喜來登酒店,64.7,51.449880749996495,-13.250119250003507,13.250119250003507
2026-04-01,2026,4,4,澎湖縣,寶華大飯店,13.47,19.84290624314872,6.372906243148721,6.372906243148721
2026-04-01,2026,4,4,桃園市,福容徠旅 林口,89.73,84.1912480053078,-5.5387519946922055,5.5387519946922055
2026-04-01,2026,4,4,桃園市,福容大飯店   桃園,71.25,72.33398999198339,1.0839899919833869,1.0839899919833869
2026-04-01,2026,4,4,桃園市,桃園國際機場凱悅酒店,67.43,67.49226209464518,0.06226209464517751,0.06226209464517751
2026-04-01,2026,4,4,桃園市,桃園喜來登酒店,49.74,55.33332237040471,5.593322370404707,5.593322370404707
2026-04-01,2026,4,4,桃園市,尊爵天際大飯店,78.61,82.89407421111862,4.284074211118622,4.284074211118622
2026-04-01,2026,4,4,桃園市,尊爵大飯店,66.25,70.54541993189038,4.295419931890379,4.295419931890379
2026-04-01,2026,4,4,桃園市,和逸飯店桃園青埔館,73.7,77.7737292069356,4.073729206935596,4.073729206935596
2026-04-01,2026,4,4,桃園市,名人堂花園大飯店,33.54,43.86239505802333,10.322395058023332,10.322395058023332
2026-04-01,2026,4,4,桃園市,古華花園飯店,89.03,89.85396934494565,0.8239693449456524,0.8239693449456524
2026-04-01,2026,4,4,桃園市,南方莊園渡假飯店,36.97,43.40752177009821,6.437521770098208,6.437521770098208
2026-04-01,2026,4,4,花蓮縣,太魯閣晶英酒店,42.67,27.64394230307379,-15.026057696926213,15.026057696926213
2026-04-01,2026,4,4,台東縣,知本老爺大酒店,0.0,68.41396639328599,68.41396639328599,68.41396639328599
2026-04-01,2026,4,4,台北市,台北花園大酒店,88.11,88.99387890581987,0.8838789058198699,0.8838789058198699
2026-04-01,2026,4,4,台東縣,娜路彎大酒店,52.92,51.00466477895949,-1.9153352210405146,1.9153352210405146
2026-04-01,2026,4,4,台北市,台北寒舍喜來登大飯店,74.45,78.76105036760278,4.311050367602775,4.311050367602775
2026-04-01,2026,4,4,台北市,台北君悅酒店,83.33,80.92354686792848,-2.406453132071519,2.406453132071519
2026-04-01,2026,4,4,台北市,台北君品大酒店,82.35,79.25366898471663,-3.0963310152833685,3.0963310152833685
2026-04-01,2026,4,4,台北市,台北凱撒大飯店,94.25,88.82662705354832,-5.4233729464516784,5.4233729464516784
2026-04-01,2026,4,4,台北市,台北中山雅樂軒酒店,87.5,85.02183641043013,-2.478163589569874,2.478163589569874
2026-04-01,2026,4,4,台北市,台北W飯店,86.48,79.33046671680178,-7.149533283198224,7.149533283198224
2026-04-01,2026,4,4,台北市,北投麗禧溫泉酒店,57.02,64.0692732013125,7.049273201312495,7.049273201312495
2026-04-01,2026,4,4,台北市,北投老爺酒店,76.4,78.20657880637968,1.806578806379676,1.806578806379676
2026-04-01,2026,4,4,台北市,兄弟大飯店,62.74999999999999,69.50918675952133,6.759186759521334,6.759186759521334
2026-04-01,2026,4,4,台北市,亞都麗緻大飯店,68.26,67.86702633236038,-0.39297366763962316,0.39297366763962316
2026-04-01,2026,4,4,台北市,三德大飯店,62.18,55.277197695320595,-6.902802304679405,6.902802304679405
2026-04-01,2026,4,4,台北市,JR東日本大飯店台北,83.77,85.57251112569249,1.8025111256924902,1.8025111256924902
2026-04-01,2026,4,4,台中市,龍谷大飯店,23.26,24.338095749625108,1.0780957496251062,1.0780957496251062
2026-04-01,2026,4,4,台中市,長榮桂冠酒店(台中),77.83,56.0856637272002,-21.7443362727998,21.7443362727998
2026-04-01,2026,4,4,台中市,通豪大飯店,37.92,52.07880147240573,14.158801472405727,14.158801472405727
2026-04-01,2026,4,4,台中市,裕元花園酒店,76.96,83.61149133317883,6.651491333178839,6.651491333178839
2026-04-01,2026,4,4,台中市,台中金典酒店,74.79,71.85865857848734,-2.93134142151267,2.93134142151267
2026-04-01,2026,4,4,台中市,台中福華大飯店,87.96,88.59396386910701,0.6339638691070206,0.6339638691070206
2026-04-01,2026,4,4,台中市,台中港酒店,84.73,78.63309799031016,-6.096902009689842,6.096902009689842
2026-04-01,2026,4,4,台中市,全國大飯店,51.57000000000001,54.86578601752547,3.295786017525465,3.295786017525465
2026-04-01,2026,4,4,南投縣,雲品溫泉酒店日月潭,66.34,70.82930220277258,4.489302202772578,4.489302202772578
2026-04-01,2026,4,4,南投縣,漢來日月行館,60.42999999999999,61.55742486989949,1.1274248698994995,1.1274248698994995
2026-04-01,2026,4,4,南投縣,涵碧樓大飯店,75.35,76.70318782316313,1.3531878231631396,1.3531878231631396
2026-04-01,2026,4,4,南投縣,日月潭力麗溫德姆溫泉酒店,42.59,52.46425354926678,9.874253549266776,9.874253549266776
2026-04-01,2026,4,4,高雄市,高雄萬豪酒店,52.24,68.30772166845433,16.067721668454332,16.067721668454332
2026-04-01,2026,4,4,台北市,台北寒舍艾美酒店,88.52,86.9323340107527,-1.5876659892472986,1.5876659892472986
2026-04-01,2026,4,4,台北市,台北漢來大飯店,62.93,60.6808542278933,-2.2491457721067007,2.2491457721067007
2026-04-01,2026,4,4,台北市,台北美福大飯店,66.19,70.251145830921,4.0611458309210064,4.0611458309210064
2026-04-01,2026,4,4,台北市,台北艾麗酒店,82.34,81.71702411441355,-0.622975885586456,0.622975885586456
2026-04-01,2026,4,4,台東縣,台東桂田喜來登酒店,58.43000000000001,51.58444590620283,-6.845554093797176,6.845554093797176
2026-04-01,2026,4,4,台南市,遠百企業觀光旅館,15.560000000000002,15.647967670960059,0.08796767096005631,0.08796767096005631
2026-04-01,2026,4,4,台南市,趣淘漫旅,67.46,54.40006487066629,-13.059935129333702,13.059935129333702
2026-04-01,2026,4,4,台南市,台糖長榮酒店(台南),71.08,64.95029001236912,-6.129709987630875,6.129709987630875
2026-04-01,2026,4,4,台南市,台南遠東香格里拉,78.31,77.37306194551526,-0.9369380544847417,0.9369380544847417
2026-04-01,2026,4,4,台南市,台南大飯店,73.33,68.53648725195858,-4.793512748041422,4.793512748041422
2026-04-01,2026,4,4,台南市,台南大員皇冠假日酒店,63.84000000000001,65.88174004090699,2.04174004090698,2.04174004090698
2026-04-01,2026,4,4,台北市,雀客藏居台北陽明山,52.33,65.24709782294242,12.917097822942424,12.917097822942424
2026-04-01,2026,4,4,台北市,雀客旅館台北南京,87.8,84.34113946035359,-3.458860539646409,3.458860539646409
2026-04-01,2026,4,4,台北市,豪景大酒店,59.03,68.11071251120414,9.08071251120414,9.08071251120414
2026-04-01,2026,4,4,台北市,老爺大酒店,90.31,88.14660435287679,-2.1633956471232096,2.1633956471232096
2026-04-01,2026,4,4,台北市,義華酒店,65.28,64.55599608337735,-0.7240039166226495,0.7240039166226495
2026-04-01,2026,4,4,台東縣,樂樂日暉溫泉酒店,31.46,32.60628182213672,1.1462818221367215,1.1462818221367215
2026-04-01,2026,4,4,台北市,美麗信花園酒店,99.0,92.98320599591284,-6.01679400408716,6.01679400408716
2026-04-01,2026,4,4,台北市,福華大飯店,27.48,75.90317592194721,48.423175921947205,48.423175921947205
2026-04-01,2026,4,4,台北市,福容大飯店  台北一館,75.69,67.7346978531601,-7.955302146839898,7.955302146839898
2026-04-01,2026,4,4,台北市,漢普頓酒店,79.11,81.86936873646758,2.7593687364675787,2.7593687364675787
2026-04-01,2026,4,4,台北市,歐華酒店,47.05,50.42124626663653,3.3712462666365326,3.3712462666365326
2026-04-01,2026,4,4,台北市,晶華酒店,84.34,83.54173066757096,-0.7982693324290437,0.7982693324290437
2026-04-01,2026,4,4,台北市,日勝生加賀屋國際溫泉飯店,32.17,39.654288357652334,7.484288357652332,7.484288357652332
2026-04-01,2026,4,4,台北市,天成大飯店,98.7,90.37346751122031,-8.32653248877969,8.32653248877969
2026-04-01,2026,4,4,台北市,圓山大飯店,68.89,78.22680441325956,9.336804413259557,9.336804413259557
2026-04-01,2026,4,4,台北市,國聯大飯店,44.79,54.25608033308971,9.466080333089714,9.466080333089714
2026-04-01,2026,4,4,台北市,國王大飯店,60.07,70.13146052558874,10.061460525588735,10.061460525588735
2026-04-01,2026,4,4,台北市,台北遠東香格里拉,77.68,76.84684050149768,-0.8331594985023258,0.8331594985023258
2026-04-01,2026,4,4,台北市,台北萬豪酒店,94.48,87.37170053748858,-7.108299462511425,7.108299462511425
2026-04-01,2026,4,4,台北市,第一大飯店,46.7,49.516488336218785,2.8164883362187823,2.8164883362187823
2026-04-01,2026,4,4,高雄市,麗尊大酒店,63.13999999999999,71.4919839986676,8.351983998667613,8.351983998667613
2026-05-01,2026,5,5,屏東縣,墾丁福華渡假飯店,53.77000000000001,41.070681828083224,-12.699318171916786,12.699318171916786
2026-05-01,2026,5,5,新北市,八里福朋喜來登酒店,28.08,46.629784687903985,18.549784687903987,18.549784687903987
2026-05-01,2026,5,5,新北市,大板根渡假酒店,74.77,69.11294051247229,-5.657059487527704,5.657059487527704
2026-05-01,2026,5,5,新北市,板橋凱撒大飯店,96.33,86.569462451118,-9.760537548881999,9.760537548881999
2026-05-01,2026,5,5,新北市,瓏山林台北中和飯店,54.63,64.86298733690502,10.232987336905019,10.232987336905019
2026-05-01,2026,5,5,新北市,福容大飯店    淡水漁人碼頭,55.73,53.70473323479821,-2.025266765201785,2.025266765201785
2026-05-01,2026,5,5,新北市,福容大飯店 福隆,41.49,44.88443145643454,3.394431456434539,3.394431456434539
2026-05-01,2026,5,5,新北市,美麗春天大飯店,2.09,4.068569057871638,1.9785690578716384,1.9785690578716384
