date,year,month,horizon,city,hotel_name,actual_occupancy,predicted_occupancy,error,absolute_error
2026-04-01,2026,4,4,台北市,國王大飯店,60.07,70.37308288002411,10.303082880024114,10.303082880024114
2026-04-01,2026,4,4,台北市,台北遠東香格里拉,77.68,77.00737990806543,-0.6726200919345757,0.6726200919345757
2026-04-01,2026,4,4,台北市,台北萬豪酒店,94.48,87.25986580757106,-7.220134192428944,7.220134192428944
2026-04-01,2026,4,4,台北市,第一大飯店,46.7,49.859618296289064,3.159618296289061,3.159618296289061
2026-04-01,2026,4,4,高雄市,麗尊大酒店,63.13999999999999,70.69240557320614,7.552405573206151,7.552405573206151
2026-05-01,2026,5,5,屏東縣,墾丁福華渡假飯店,53.77000000000001,42.26283781639847,-11.507162183601537,11.507162183601537
2026-05-01,2026,5,5,新北市,八里福朋喜來登酒店,28.08,46.92653065158244,18.84653065158244,18.84653065158244
2026-05-01,2026,5,5,新北市,大板根渡假酒店,74.77,69.12855523191045,-5.641444768089542,5.641444768089542
2026-05-01,2026,5,5,新北市,板橋凱撒大飯店,96.33,86.7367962857149,-9.593203714285096,9.593203714285096
2026-05-01,2026,5,5,新北市,瓏山林台北中和飯店,54.63,64.88725158315452,10.25725158315452,10.25725158315452
2026-05-01,2026,5,5,新北市,福容大飯店    淡水漁人碼頭,55.73,54.286017180856085,-1.443982819143912,1.443982819143912
2026-05-01,2026,5,5,新北市,福容大飯店 福隆,41.49,46.72842298635349,5.238422986353491,5.238422986353491
2026-05-01,2026,5,5,新北市,美麗春天大飯店,2.09,3.870904983590637,1.780904983590637,1.780904983590637
2026-05-01,2026,5,5,新竹市,新竹國賓大飯店,67.57,67.90056969243996,0.3305696924399655,0.3305696924399655
2026-05-01,2026,5,5,屏東縣,墾丁怡灣渡假酒店,47.31,45.71118778653466,-1.5988122134653437,1.5988122134653437
2026-05-01,2026,5,5,新北市,碧特弗大飯店,18.12,14.98589800448917,-3.1341019955108305,3.1341019955108305
2026-05-01,2026,5,5,屏東縣,凱撒大飯店,80.13,63.43575558251418,-16.694244417485812,16.694244417485812
2026-05-01,2026,5,5,嘉義市,鈺通大飯店,43.47,39.395017672786366,-4.0749823272136325,4.0749823272136325
2026-05-01,2026,5,5,宜蘭縣,蘭城晶英酒店,53.75,66.16674999195615,12.416749991956152,12.416749991956152
2026-05-01,2026,5,5,宜蘭縣,綠舞國際觀光飯店,40.66,48.983239233811375,8.323239233811378,8.323239233811378
2026-05-01,2026,5,5,宜蘭縣,礁溪麒麟酒店,67.65,71.16764156073452,3.5176415607345177,3.5176415607345177
2026-05-01,2026,5,5,宜蘭縣,礁溪老爺酒店,71.87,74.54078529577876,2.6707852957787566,2.6707852957787566
2026-05-01,2026,5,5,宜蘭縣,悅川酒店,73.94,68.37045542629188,-5.569544573708114,5.569544573708114
2026-05-01,2026,5,5,宜蘭縣,幼獅大飯店,10.96,14.66423139525156,3.7042313952515595,3.7042313952515595
2026-05-01,2026,5,5,宜蘭縣,山泉大飯店,49.09,65.19983253361346,16.109832533613456,16.109832533613456
2026-05-01,2026,5,5,宜蘭縣,凱渡廣場酒店,42.73,31.928544212859766,-10.801455787140231,10.801455787140231
2026-05-01,2026,5,5,基隆市,長榮桂冠酒店(基隆),85.76,81.86128582115691,-3.8987141788430932,3.8987141788430932
2026-05-01,2026,5,5,嘉義縣,阿里山賓館(現代館),42.23,52.782324562458946,10.55232456245895,10.55232456245895
2026-05-01,2026,5,5,嘉義縣,阿里山賓館(歷史館),43.13,33.01155534264323,-10.118444657356775,10.118444657356775
2026-05-01,2026,5,5,嘉義縣,名都觀光渡假大飯店,19.95,23.200875315681785,3.2508753156817853,3.2508753156817853
2026-05-01,2026,5,5,宜蘭縣,長榮鳳凰酒店(礁溪),57.79,59.03885839481222,1.248858394812224,1.248858394812224
2026-05-01,2026,5,5,新竹市,新竹老爺大酒店,74.78,71.61900225184934,-3.1609977481506633,3.1609977481506633
2026-05-01,2026,5,5,高雄市,高雄福華大飯店,77.86,84.53394956149884,6.673949561498844,6.673949561498844
2026-05-01,2026,5,5,新竹縣,豐邑喜來登大飯店,58.48,50.79039781059496,-7.689602189405036,7.689602189405036
2026-05-01,2026,5,5,嘉義市,耐斯王子大飯店,64.23,49.96982067874386,-14.260179321256146,14.260179321256146
2026-05-01,2026,5,5,高雄市,高雄圓山大飯店,47.07,68.18530912819902,21.115309128199023,21.115309128199023
2026-05-01,2026,5,5,高雄市,義大皇家酒店,41.59,47.31215295714602,5.722152957146015,5.722152957146015
2026-05-01,2026,5,5,高雄市,福容大飯店 高雄,59.43000000000001,65.06564104635349,5.635641046353484,5.635641046353484
2026-05-01,2026,5,5,高雄市,然一酒店,59.62,50.42787144686062,-9.192128553139376,9.192128553139376
2026-05-01,2026,5,5,高雄市,漢來大飯店,59.32999999999999,72.26966517966646,12.93966517966647,12.93966517966647
2026-05-01,2026,5,5,高雄市,寒軒國際大飯店,86.69,73.87351122947841,-12.816488770521588,12.816488770521588
2026-05-01,2026,5,5,金門縣,陸島酒店,72.75,45.1217548640716,-27.628245135928402,27.628245135928402
2026-05-01,2026,5,5,苗栗縣,馥藝金鬱金香酒店,66.51,53.43691405547843,-13.073085944521573,13.073085944521573
2026-05-01,2026,5,5,花蓮縣,遠雄悅來大飯店,46.44,37.9523108420242,-8.487689157975801,8.487689157975801
2026-05-01,2026,5,5,花蓮縣,美侖大飯店,57.95,36.10169343970626,-21.848306560293743,21.848306560293743
2026-05-01,2026,5,5,新竹縣,新竹喜來登大飯店,87.28,75.23592705464084,-12.044072945359162,12.044072945359162
2026-05-01,2026,5,5,花蓮縣,瑞穗天合國際觀光酒店,55.33,43.26134358225343,-12.068656417746567,12.068656417746567
2026-05-01,2026,5,5,澎湖縣,澎湖福朋喜來登酒店,70.18,55.182101672135325,-14.997898327864682,14.997898327864682
2026-05-01,2026,5,5,澎湖縣,寶華大飯店,32.04,25.58043639871966,-6.45956360128034,6.45956360128034
2026-05-01,2026,5,5,桃園市,福容徠旅 林口,84.61,83.66777224221657,-0.9422277577834279,0.9422277577834279
2026-05-01,2026,5,5,桃園市,福容大飯店   桃園,66.0,69.54049692017998,3.540496920179976,3.540496920179976
2026-05-01,2026,5,5,桃園市,桃園國際機場凱悅酒店,63.35999999999999,65.48842038279776,2.1284203827977635,2.1284203827977635
