date,year,month,city,hotel_name,actual_occupancy,predicted_occupancy,error,absolute_error
2026-05-01,2026,5,花蓮縣,瑞穗天合國際觀光酒店,55.33,49.59779545468855,-5.732204545311447,5.732204545311447
2026-06-01,2026,6,花蓮縣,瑞穗天合國際觀光酒店,69.44,54.24705667782184,-15.19294332217816,15.19294332217816
2026-01-01,2026,1,新北市,瓏山林台北中和飯店,55.91,59.08844528678013,3.178445286780132,3.178445286780132
2026-02-01,2026,2,新北市,瓏山林台北中和飯店,50.91,59.91000558839776,9.000005588397762,9.000005588397762
2026-03-01,2026,3,新北市,瓏山林台北中和飯店,63.13,58.14004158816828,-4.989958411831722,4.989958411831722
2026-04-01,2026,4,新北市,瓏山林台北中和飯店,57.54,59.698619647941015,2.1586196479410162,2.1586196479410162
2026-05-01,2026,5,新北市,瓏山林台北中和飯店,54.63,57.328184772281766,2.6981847722817633,2.6981847722817633
2026-06-01,2026,6,新北市,瓏山林台北中和飯店,62.78,54.52469631915346,-8.255303680846538,8.255303680846538
2026-01-01,2026,1,台東縣,知本老爺大酒店,88.23,76.36067816036508,-11.869321839634921,11.869321839634921
2026-02-01,2026,2,台東縣,知本老爺大酒店,94.7,81.67457071087406,-13.025429289125938,13.025429289125938
2026-03-01,2026,3,台東縣,知本老爺大酒店,0.0,80.38995127822872,80.38995127822872,80.38995127822872
2026-04-01,2026,4,台東縣,知本老爺大酒店,0.0,34.72151621078144,34.72151621078144,34.72151621078144
2026-05-01,2026,5,台東縣,知本老爺大酒店,0.0,16.96027053707808,16.96027053707808,16.96027053707808
2026-06-01,2026,6,台東縣,知本老爺大酒店,0.0,10.908806285896043,10.908806285896043,10.908806285896043
2026-01-01,2026,1,新北市,碧特弗大飯店,15.37,10.456596071033642,-4.913403928966357,4.913403928966357
2026-02-01,2026,2,新北市,碧特弗大飯店,9.29,15.111075726317898,5.821075726317899,5.821075726317899
2026-03-01,2026,3,新北市,碧特弗大飯店,13.720000000000002,13.9129369481566,0.19293694815659812,0.19293694815659812
2026-04-01,2026,4,新北市,碧特弗大飯店,13.269999999999998,16.077119359127497,2.8071193591274994,2.8071193591274994
2026-05-01,2026,5,新北市,碧特弗大飯店,18.12,14.935388118456757,-3.184611881543244,3.184611881543244
2026-06-01,2026,6,新北市,碧特弗大飯店,15.7,15.46276464137291,-0.237235358627089,0.237235358627089
2026-01-01,2026,1,宜蘭縣,礁溪老爺酒店,76.88,78.74124186132252,1.861241861322526,1.861241861322526
2026-02-01,2026,2,宜蘭縣,礁溪老爺酒店,85.53,79.44964059958977,-6.080359400410231,6.080359400410231
2026-03-01,2026,3,宜蘭縣,礁溪老爺酒店,78.71,82.8767456396356,4.166745639635607,4.166745639635607
2026-04-01,2026,4,宜蘭縣,礁溪老爺酒店,73.28,76.63707167795499,3.357071677954991,3.357071677954991
2026-05-01,2026,5,宜蘭縣,礁溪老爺酒店,71.87,73.15713998817226,1.2871399881722567,1.2871399881722567
2026-06-01,2026,6,宜蘭縣,礁溪老爺酒店,71.22,72.1370303287974,0.9170303287973951,0.9170303287973951
2026-01-01,2026,1,宜蘭縣,礁溪麒麟酒店,79.12,73.88050814985854,-5.239491850141462,5.239491850141462
2026-02-01,2026,2,宜蘭縣,礁溪麒麟酒店,82.89,78.7350793336076,-4.1549206663924,4.1549206663924
2026-03-01,2026,3,宜蘭縣,礁溪麒麟酒店,75.04,79.42096118688616,4.380961186886154,4.380961186886154
2026-04-01,2026,4,宜蘭縣,礁溪麒麟酒店,71.76,75.0031504401196,3.2431504401195923,3.2431504401195923
2026-05-01,2026,5,宜蘭縣,礁溪麒麟酒店,67.65,70.90897070214157,3.2589707021415677,3.2589707021415677
2026-06-01,2026,6,宜蘭縣,礁溪麒麟酒店,66.09,66.80132793686445,0.7113279368644498,0.7113279368644498
2026-01-01,2026,1,新北市,福容大飯店    淡水漁人碼頭,53.16,51.71483901249359,-1.445160987506405,1.445160987506405
2026-02-01,2026,2,新北市,福容大飯店    淡水漁人碼頭,47.91,55.86027592806939,7.950275928069395,7.950275928069395
2026-03-01,2026,3,新北市,福容大飯店    淡水漁人碼頭,64.39,55.48725774465282,-8.902742255347178,8.902742255347178
2026-04-01,2026,4,新北市,福容大飯店    淡水漁人碼頭,62.81,60.551829044111734,-2.258170955888268,2.258170955888268
2026-05-01,2026,5,新北市,福容大飯店    淡水漁人碼頭,55.73,56.03220332609413,0.3022033260941299,0.3022033260941299
2026-06-01,2026,6,新北市,福容大飯店    淡水漁人碼頭,76.45,57.905262393352814,-18.54473760664719,18.54473760664719
2026-01-01,2026,1,桃園市,福容大飯店   桃園,62.74000000000001,60.808505247476056,-1.9314947525239532,1.9314947525239532
2026-02-01,2026,2,桃園市,福容大飯店   桃園,70.13,68.40227001230225,-1.7277299876977423,1.7277299876977423
2026-03-01,2026,3,桃園市,福容大飯店   桃園,78.02,74.26400441546927,-3.755995584530723,3.755995584530723
2026-04-01,2026,4,桃園市,福容大飯店   桃園,71.25,75.34092633765351,4.090926337653514,4.090926337653514
2026-05-01,2026,5,桃園市,福容大飯店   桃園,66.0,69.69694817584167,3.696948175841669,3.696948175841669
2026-06-01,2026,6,桃園市,福容大飯店   桃園,75.84,67.96073049002239,-7.879269509977618,7.879269509977618
2026-01-01,2026,1,台北市,福容大飯店  台北一館,56.18,64.6937872195462,8.513787219546195,8.513787219546195
2026-02-01,2026,2,台北市,福容大飯店  台北一館,62.77,60.890669440725986,-1.8793305592740168,1.8793305592740168
2026-03-01,2026,3,台北市,福容大飯店  台北一館,72.69,65.78417350351185,-6.905826496488146,6.905826496488146
2026-04-01,2026,4,台北市,福容大飯店  台北一館,75.69,69.13246963793259,-6.557530362067411,6.557530362067411
2026-05-01,2026,5,台北市,福容大飯店  台北一館,73.87,70.54997854665403,-3.320021453345973,3.320021453345973
2026-06-01,2026,6,台北市,福容大飯店  台北一館,74.06,67.77714486719876,-6.282855132801245,6.282855132801245
2026-01-01,2026,1,新北市,福容大飯店 福隆,14.26,31.891795335881838,17.63179533588184,17.63179533588184
2026-02-01,2026,2,新北市,福容大飯店 福隆,32.14,22.68853481463875,-9.45146518536125,9.45146518536125
2026-03-01,2026,3,新北市,福容大飯店 福隆,29.770000000000003,31.654656033097226,1.8846560330972224,1.8846560330972224
2026-04-01,2026,4,新北市,福容大飯店 福隆,37.13,41.53989495920483,4.409894959204827,4.409894959204827
2026-05-01,2026,5,新北市,福容大飯店 福隆,41.49,39.46301201095145,-2.02698798904855,2.02698798904855
2026-06-01,2026,6,新北市,福容大飯店 福隆,55.71,45.51149684542525,-10.198503154574752,10.198503154574752
2026-01-01,2026,1,高雄市,福容大飯店 高雄,57.43000000000001,59.33860294177292,1.9086029417729122,1.9086029417729122
2026-02-01,2026,2,高雄市,福容大飯店 高雄,61.57,60.67187219196043,-0.8981278080395683,0.8981278080395683
2026-03-01,2026,3,高雄市,福容大飯店 高雄,51.03,65.94631876918174,14.916318769181743,14.916318769181743
2026-04-01,2026,4,高雄市,福容大飯店 高雄,55.93,57.953264323763165,2.023264323763165,2.023264323763165
2026-05-01,2026,5,高雄市,福容大飯店 高雄,59.43000000000001,58.63696192146835,-0.7930380785316586,0.7930380785316586
2026-06-01,2026,6,高雄市,福容大飯店 高雄,46.35,59.70325517926646,13.353255179266462,13.353255179266462
2026-01-01,2026,1,桃園市,福容徠旅 林口,79.61,83.01077499423171,3.4007749942317105,3.4007749942317105
2026-02-01,2026,2,桃園市,福容徠旅 林口,84.8,82.58825335317697,-2.2117466468230305,2.2117466468230305
2026-03-01,2026,3,桃園市,福容徠旅 林口,96.43,87.29841455013673,-9.13158544986328,9.13158544986328
2026-04-01,2026,4,桃園市,福容徠旅 林口,89.73,85.16527168548117,-4.564728314518831,4.564728314518831
2026-05-01,2026,5,桃園市,福容徠旅 林口,84.61,87.14214193020193,2.532141930201931,2.532141930201931
2026-06-01,2026,6,桃園市,福容徠旅 林口,85.17,85.6846895846493,0.5146895846493038,0.5146895846493038
2026-01-01,2026,1,台北市,福華大飯店,66.58,73.1737256337116,6.5937256337116,6.5937256337116
2026-02-01,2026,2,台北市,福華大飯店,48.87,70.39828270185292,21.528282701852923,21.528282701852923
2026-03-01,2026,3,台北市,福華大飯店,44.23,64.61900740969709,20.389007409697093,20.389007409697093
2026-04-01,2026,4,台北市,福華大飯店,27.48,55.88859595921793,28.40859595921793,28.40859595921793
